,Title,ISBN,Author,Additional_Authors,My_Rating,Average_Rating,Publisher,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Exclusive_Shelf,Series_Info,is_series,book_age,have_read,length_category,Genre
34,Dr. Jekyll and Mr. Hyde,"=""0451528956""",Robert Louis Stevenson,"Vladimir Nabokov, Dan Chaon, Jerome Charyn, Simon Vestdijk",5.0,3.83,Signet Classic,139.0,2003,1886.0,2021-06-15,read,Standalone,False,139.0,True,Short,"Fiction, Physicians, Physicians in fiction"
35,The Man in the High Castle,"=""0679740678""",Philip K. Dick,,3.0,3.6,Vintage,259.0,1992,1962.0,2021-06-14,read,Standalone,False,63.0,True,Medium,"award:hugo_award=1963, Fiction, Hugo Award Winner"
36,Algorithms to Live By: The Computer Science of Human Decisions,"=""1627790365""",Brian Christian,Tom  Griffiths,,4.13,Henry Holt and Co.,368.0,2016,2016.0,,to-read,Standalone,False,9.0,False,Long,"Human behavior, Problem solving, Mathematics"
37,Snow Crash,"=""""",Neal Stephenson,,,4.02,Spectra,559.0,2018,1992.0,,to-read,Standalone,False,33.0,False,Long,Unknown
38,And Then There Were None,"=""0312330871""",Agatha Christie,,,4.28,St. Martin's Griffin,264.0,2004,1939.0,,to-read,Standalone,False,86.0,False,Medium,"Roman policier, French language materials, Français (langue)"
39,The Plague,"=""""",Albert Camus,Stuart Gilbert,4.0,4.02,Vintage International,308.0,1991,1947.0,,read,Standalone,False,78.0,True,Long,Unknown
40,Code: The Hidden Language of Computer Hardware and Software,"=""0735611319""",Charles Petzold,,4.0,4.39,Microsoft Press,396.0,2000,1999.0,,read,Standalone,False,26.0,True,Long,"Computer programming, Coding theory, Datenverarbeitung"
41,Neuromancer,"=""110114646X""",William Gibson,,4.0,3.89,Ace,288.0,2007,1984.0,2021-05-16,read," (Sprawl, #1)",False,41.0,True,Medium,"Information superhighway, Computer hackers, Conspiracies"
42,The Hunt for Red October,"=""0425172902""",Tom Clancy,,,4.11,Berkley Trade,432.0,1999,1984.0,,to-read," (Jack Ryan, #3)",False,41.0,False,Long,"Fiction, Thriller, Intelligence service"
43,Altered Carbon,"=""0345457692""",Richard K. Morgan,,,4.04,Del Rey / Ballantine Books,526.0,2006,2002.0,,to-read," (Takeshi Kovacs, #1)",False,23.0,False,Long,"Long Now Manual for Civilization, Science Fiction And Fantasy, Fiction"
44,Ready Player One,"=""030788743X""",Ernest Cline,,,4.23,Crown Publishers,480.0,2011,2011.0,,to-read," (Ready Player One, #1)",False,14.0,False,Long,"Regression (Civilization), Utopias, Virtual reality"
45,None of Us Were Like This Before: American Soldiers and Torture,"=""1844675998""",Joshua E.S. Phillips,,4.0,4.12,Verso,256.0,2010,2010.0,,read,Standalone,False,15.0,True,Medium,"War on Terrorism, 2001-2009, Psychology, Torture"
46,The 5th Wave,"=""0399162410""",Rick Yancey,,3.0,4.01,G.P. Putnam's Sons Books for Young Readers,457.0,2013,2013.0,,read," (The 5th Wave, #1)",False,12.0,True,Long,"Children's fiction, Extraterrestrial beings, fiction, Survival, fiction"
47,All Quiet on the Western Front,"=""0449213943""",Erich Maria Remarque,Arthur Wesley Wheen,5.0,4.09,Ballantine Books,296.0,1987,1928.0,2021-03-14,read,Standalone,False,97.0,True,Medium,"World War, 1914-1918, Fiction, Readers"
48,A Confederacy of Dunces,"=""0802130208""",John Kennedy Toole,Walker Percy,5.0,3.89,Grove Weidenfeld,394.0,1994,1980.0,2021-03-08,read,Standalone,False,45.0,True,Long,"mothers, travel, housing"
50,The Martian,"=""0804139024""",Andy Weir,,,4.42,Ballantine Books,384.0,2014,2011.0,,to-read,Standalone,False,14.0,False,Long,"Science-Fiction, Science Fiction & Fantasy, Suspense & Thriller"
51,Cult of the Dead Cow: How the Original Hacking Supergroup Might Just Save the World,"=""154176238X""",Joseph Menn,,,3.74,PublicAffairs,256.0,2019,2019.0,,to-read,Standalone,False,6.0,False,Medium,"SOCIAL SCIENCE / Sociology / General, Hacktivism, Hackers"
52,Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland,"=""0060995068""",Christopher R. Browning,,5.0,4.11,Harper Perennial,271.0,1998,1992.0,2021-02-12,read,Standalone,False,33.0,True,Medium,"Germany, Germany. Reserve-Polizei-Bataillon 101, Nationalsozialistische Deutsche Arbeiter-Partei"
